
> evolution-frontend-os@0.1.0 dev
> next dev --turbopack -p 3000

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.123.34:3000
- Environments: .env

✓ Starting...
✓ Ready in 843ms
 GET /productos 200 in 40ms (compile: 1613µs, render: 38ms)
 GET /productos 200 in 37ms (compile: 1293µs, render: 36ms)
 GET /productos 200 in 28ms (compile: 1361µs, render: 27ms)
 GET /productos 200 in 28ms (compile: 1124µs, render: 27ms)
 GET /productos 200 in 34ms (compile: 1359µs, render: 33ms)
 GET /productos 200 in 35ms (compile: 1349µs, render: 33ms)
 GET /productos 200 in 35ms (compile: 1514µs, render: 33ms)
 GET /productos 200 in 36ms (compile: 941µs, render: 35ms)
 GET /productos 200 in 26ms (compile: 1173µs, render: 25ms)
 GET /productos 200 in 37ms (compile: 1140µs, render: 36ms)
 GET /productos 200 in 37ms (compile: 1317µs, render: 36ms)
 GET /productos 200 in 37ms (compile: 1316µs, render: 35ms)
 GET /productos 200 in 36ms (compile: 1339µs, render: 34ms)
 GET /productos 200 in 27ms (compile: 1411µs, render: 25ms)
 GET /productos 200 in 34ms (compile: 1054µs, render: 33ms)
 GET /productos 200 in 34ms (compile: 1150µs, render: 33ms)
 GET /productos 200 in 35ms (compile: 1195µs, render: 34ms)
 GET /productos 200 in 27ms (compile: 1198µs, render: 26ms)
 GET /productos 200 in 36ms (compile: 923µs, render: 35ms)
 GET /productos 200 in 36ms (compile: 1267µs, render: 35ms)
 GET /productos 200 in 37ms (compile: 1284µs, render: 36ms)
 GET /productos 200 in 36ms (compile: 1145µs, render: 35ms)
 GET /productos 200 in 37ms (compile: 1064µs, render: 36ms)
 GET /productos 200 in 38ms (compile: 1207µs, render: 37ms)
 GET /productos 200 in 39ms (compile: 1565µs, render: 38ms)
 GET /productos 200 in 40ms (compile: 1227µs, render: 38ms)
 GET /productos 200 in 42ms (compile: 1563µs, render: 40ms)
 GET /productos 200 in 41ms (compile: 1605µs, render: 40ms)
 GET /productos 200 in 40ms (compile: 2ms, render: 38ms)
 GET /productos 200 in 39ms (compile: 1223µs, render: 38ms)
 GET /productos 200 in 36ms (compile: 1563µs, render: 35ms)
 GET /productos 200 in 36ms (compile: 1422µs, render: 35ms)
 GET /productos 200 in 36ms (compile: 1719µs, render: 34ms)
 GET /productos 200 in 35ms (compile: 1401µs, render: 34ms)
 GET /productos 200 in 37ms (compile: 1100µs, render: 36ms)
 GET /productos 200 in 37ms (compile: 1739µs, render: 35ms)
 GET /productos 200 in 36ms (compile: 1335µs, render: 35ms)
 GET /productos 200 in 28ms (compile: 1726µs, render: 26ms)
 GET /productos 200 in 20ms (compile: 2ms, render: 18ms)
 GET /productos 200 in 12ms (compile: 1144µs, render: 10ms)
✓ Compiled in 85ms
✓ Compiled in 132ms
✓ Compiled in 150ms
 GET /trafico 200 in 127ms (compile: 97ms, render: 29ms)
 GET /trafico/dmc/nuevo 200 in 402ms (compile: 391ms, render: 11ms)
✓ Compiled in 192ms
 GET /dashboard 200 in 134ms (compile: 105ms, render: 29ms)
 GET /productos 200 in 124ms (compile: 101ms, render: 23ms)
